,year,week,statefips,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
320,2020,09,4,0.0025228571428571427,0.01934285714285714,,0.0,0.37333333333333335,0.732,,,,,0.0
321,2020,09,5,,,,,0.0,0.19899999999999998,,,,,
322,2020,09,6,0.014505714285714285,0.09722857142857144,0.0,0.0005164285714285714,0.007453333333333333,1.3075,,,,,0.015051428571428572
323,2020,09,8,0.07805000000000001,0.07516666666666667,,0.0,,,,,,,
324,2020,09,9,,,,,0.1403142857142857,0.3528857142857143,,,,,
325,2020,09,10,,,,,,,,,,,
326,2020,09,11,,0.142,,0.0,0.21250000000000002,0.9606666666666667,,,,,
327,2020,09,12,0.003105,0.013188571428571428,0.0,0.0006014285714285714,0.6153333333333334,1.026857142857143,,,,,
328,2020,09,13,0.0023539999999999998,0.0207,,0.0,,0.0,,,,,0.00041714285714285714
329,2020,09,15,0.0,0.0706,,0.0,0.12186666666666666,0.23399999999999999,,,,,0.0
330,2020,09,16,,,,,,1.51,,,,,
331,2020,09,17,0.0027357142857142858,0.026085714285714285,,0.0,,,,,,,0.0
332,2020,09,18,0.0,0.0149,,0.0,0.030042857142857145,0.10375714285714285,,,,,0.0
333,2020,09,19,,,,,0.0,0.475,,,,,0.0533
334,2020,09,20,,0.0343,,0.0,0.24,0.197,,,,,0.0
335,2020,09,21,0.0,0.0224,,0.0,0.0671,0.1735,,,,,0.003075714285714286
336,2020,09,22,,,,,,0.0,,,,,0.0
337,2020,09,23,,,,,,,,,,,0.0015142857142857143
338,2020,09,24,0.0,0.0496,,0.0,,,,,,,0.0
339,2020,09,25,0.0071085714285714285,0.02844285714285714,,0.0,0.16322857142857145,0.6047142857142856,,,,,
340,2020,09,26,,,,,,,,,,,0.0
341,2020,09,27,0.0,0.0177,,0.0,0.231,0.7134999999999999,,,,,0.0
342,2020,09,28,,,,,,0.0,,,,,0.0
343,2020,09,29,,0.0163,,0.0,,0.375,,,,,0.0
344,2020,09,30,,,,,,1.03,,,,,0.0
345,2020,09,31,0.0052814285714285715,0.6741428571428573,,0.0,0.3167142857142857,1.7085714285714286,,,,,0.0
346,2020,09,32,0.0,0.0649,,0.0,0.5925,1.3333333333333333,,,,,0.0
347,2020,09,33,0.03946,0.12108333333333333,,0.0,0.7806666666666667,1.01575,,,,,
348,2020,09,34,0.013166666666666665,0.021374999999999998,,0.0,0.0169,0.004138571428571429,,,,,0.0
349,2020,09,35,,,,,0.0,0.47700000000000004,,,,,
350,2020,09,36,0.027711666666666666,0.03840428571428572,,0.0,0.14195,0.09051166666666666,,,,,
351,2020,09,37,0.0013900000000000002,0.010758,,0.0,,,,,,,0.0
352,2020,09,38,,,,,,,,,,,0.0
353,2020,09,39,,,,,0.0171,0.02995,,,,,0.0017285714285714285
354,2020,09,40,0.0,0.0253,,0.0,,0.0253,,,,,0.0
355,2020,09,41,0.007815714285714285,0.04145714285714286,,0.0,,,,,,,0.0014514285714285712
